id,normalized_key,lemma_ru,lemma_en,category,approved_form,declension_notes,italic_required,diacritics_policy,capitalization_notes,variants_found,preferred_source,source_examples,editor_decision,status,notes,conflict_flag,conflict_variants,conflict_sources,review_priority,suggested_action,decision,approved_form_override,category_override,italic_required_override,diacritics_policy_override,merge_into,review_notes
term-10707,праджалпа,Праджалпа,,other,Праджалпа,,conditional,no_diacritics_in_prose,,Праджалпа [2] | праджалпа [1],bvks_ru,vedabase_ru:index.html:праджалпа | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Праджалпа – (в данном контексте) праздные разговоры | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Праджалпа,,needs_review,auto-generated draft,yes,Праджалпа [2] | праджалпа [1],bvks_ru [2] | vedabase_ru [1],medium,review,,,,,,,
term-10786,пракаш,пракаш,,other,пракаш,,conditional,no_diacritics_in_prose,,пракаш [2] | Пракаш [2],bvks_ru,"vedabase_ru:index.html:пракаш | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Пракаш (пракāш́а) – просвещение, свет; публикация | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:Пракаш",,needs_review,auto-generated draft,yes,пракаш [2] | Пракаш [2],vedabase_ru [2] | bvks_ru [2],medium,review,,,,,,,
term-10964,прасад,прасад,,other,прасад,,conditional,no_diacritics_in_prose,,прасад [138] | Прасад [1],bvks_ru,"vedabase_ru:index.html:прасад | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Прасад — буквально «милость»; освящённая пища или какие-либо предметы, которые были поднесены Верховному Господу или Его | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:прасад",,needs_review,auto-generated draft,yes,прасад [138] | Прасад [1],vedabase_ru [124] | bvks_ru [15],medium,review,,,,,,,
term-11141,праяг,Праяг,,other,Праяг,,no,no_diacritics_in_prose,,Праяг [1],bvks_ru,"bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Праяг — место слияния священных рек Ганги, Ямуны и Сарасвати; известное место паломничества",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-11147,преданное служение,Преданное служение,,other,Преданное служение,,no,no_diacritics_in_prose,,Преданное служение [1],vedabase_ru,vedabase_ru:index.html:Преданное служение — это не сентиментальные размышления и не внушенный себе экстаз. Его сущность — практическая деятельн,,draft,auto-generated draft,no,,,low,review,,,,,,,
term-11148,преданный,Преданный,,other,Преданный,,no,no_diacritics_in_prose,,Преданный [1],vedabase_ru,"vedabase_ru:index.html:Преданный, обладающий верой, — подходящий кандидат на то, чтобы с любовью служить Господу. Преданного относят к высшей, ",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-11149,"преданный, обладающий верой","Преданный, обладающий верой",,other,"Преданный, обладающий верой",,no,no_diacritics_in_prose,,"Преданный, обладающий верой [1]",vedabase_ru,"vedabase_ru:index.html:Преданный, обладающий верой, — подходящий кандидат на то, чтобы с любовью служить Господу. Преданного относят к высшей, ",,draft,auto-generated draft,no,,,low,review,,,,,,,
term-11156,према,према,,other,према,,conditional,diacritics_in_quotes_only,,према [401] | према̄ [25] | Према [1],bvks_ru,vedabase_ru:index.html:према | vedabase_ru:index.html:према̄ | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Према — трансцендентная любовь | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:према,,needs_review,auto-generated draft,yes,према [401] | према̄ [25] | Према [1],vedabase_ru [424] | bvks_ru [3],medium,review,,,,,,,
term-11175,преобразование энергии,Преобразование энергии,,other,Преобразование энергии,,no,no_diacritics_in_prose,,Преобразование энергии [2],vedabase_ru,vedabase_ru:index.html:Преобразование энергии — доказанная реальность. Иллюзией является отождествление себя с телом,,draft,auto-generated draft,no,,,low,review,,,,,,,
term-11250,пӯджа,пӯджа,,other,пӯджа,,conditional,diacritics_in_quotes_only,,пӯджа̄ [18] | пӯджа̄ [5] | пӯджа [4] | Пуджа [1],bvks_ru,"vedabase_ru:index.html:пӯджа̄ | vedabase_ru:index.html:пӯджа | bvks_ru:Шри_Чайтанья_Махапрабху_Абхинава_дас_21_ноября_2025.docx:Пуджа — поклонение Божеству посредством подношения Ему цветов, пищи и т.п | bvks_ru:Shri_Bkhaktisiddkhanta_Vaybkhava_Tom1.docx:пӯджа̄",,needs_review,auto-generated draft,yes,пӯджа̄ [18] | пӯджа̄ [5] | пӯджа [4] | Пуджа [1],vedabase_ru [22] | bvks_ru [6],medium,review,,,,,,,
